backbone,elapsed_seconds,forget_batch_size,forget_split,learning_rate,mean_damage,mean_pi,model_name,pearson,probe_batches,probe_learning_rate,retain_split,run,seed,spearman,summary_path,top0.05_damage_lift,top0.05_damage_ratio,top0.05_enrichment,top0.05_precision,top0.05_pred_damage,top0.05_random_damage,top0.1_damage_lift,top0.1_damage_ratio,top0.1_enrichment,top0.1_precision,top0.1_pred_damage,top0.1_random_damage,top0.2_damage_lift,top0.2_damage_ratio,top0.2_enrichment,top0.2_precision,top0.2_pred_damage,top0.2_random_damage,train_loss_first,train_loss_last,train_steps
NPO,139.60038423538208,1,forget01,1e-05,1.1587008070647717,0.539852737441659,Llama-2-7b-chat-hf,0.9227716673164917,4,1e-05,retain99,Llama-2-7b-chat-hf_forget01_retain99_NPO_seed2_fb1_pb4_full_65437_8,2,0.8569553958215832,results/piper_pi_probe/Llama-2-7b-chat-hf_forget01_retain99_NPO_seed2_fb1_pb4_full_65437_8/summary.json,1.385068261489272,2.198388262718225,17.599999999999998,0.88,2.540844151973724,1.1557758904844522,1.0421946793317796,1.8985576235103176,8.6,0.86,2.2020475947856903,1.1598529154539108,0.6954699905268849,1.5982847532087079,4.1,0.82,1.8579097598791123,1.1624397693522275,13.898523330688477,0.15184587240219116,80
NPO,202.42158675193787,1,forget01,1e-05,1.2484883515536784,0.3537484252750874,Llama-2-7b-chat-hf,0.8993708560057574,8,1e-05,retain99,Llama-2-7b-chat-hf_forget01_retain99_NPO_seed2_fb1_pb8_full_65439_9,2,0.8034800139200556,results/piper_pi_probe/Llama-2-7b-chat-hf_forget01_retain99_NPO_seed2_fb1_pb8_full_65439_9/summary.json,1.455734772107005,2.169008057514575,17.599999999999998,0.88,2.701008286476135,1.24527351436913,1.0400229836881159,1.832594162585951,8.399999999999999,0.84,2.289158553481102,1.249135569792986,0.6964199395172299,1.5560853532044943,3.95,0.79,1.9487815338373184,1.2523615943200885,13.988882064819336,0.13722552359104156,80
NPO,142.00563430786133,2,forget01,1e-05,1.6243825179040432,0.4149947057403624,Llama-2-7b-chat-hf,0.8819243754417398,4,1e-05,retain99,Llama-2-7b-chat-hf_forget01_retain99_NPO_seed2_fb2_pb4_full_65443_10,2,0.7644921459685838,results/piper_pi_probe/Llama-2-7b-chat-hf_forget01_retain99_NPO_seed2_fb2_pb4_full_65443_10/summary.json,1.859218119058013,2.1489837873090347,16.0,0.8,3.4773594188690184,1.6181412998110054,1.3686071569681169,1.841282036532995,8.0,0.8,2.9954184967279436,1.6268113397598267,0.8810645800553263,1.540895654152514,3.85,0.77,2.5099639311432838,1.6288993510879575,13.727477073669434,0.011858776211738586,80
NPO,203.1752326488495,2,forget01,1e-05,1.5471394136846066,0.4227238858845085,Llama-2-7b-chat-hf,0.9003078675761502,8,1e-05,retain99,Llama-2-7b-chat-hf_forget01_retain99_NPO_seed2_fb2_pb8_full_65447_11,2,0.8078461113844454,results/piper_pi_probe/Llama-2-7b-chat-hf_forget01_retain99_NPO_seed2_fb2_pb8_full_65447_11/summary.json,1.8277240620821718,2.186850564910996,15.2,0.76,3.367702317237854,1.5399782551556824,1.3797547889947892,1.8900206542762894,8.799999999999999,0.88,2.9300050920248033,1.550250303030014,0.8607673200629655,1.554767045941054,3.85,0.77,2.412350685298443,1.5515833652354774,14.074508666992188,0.0396653451025486,80
GradAscent,127.26250958442688,1,forget05,1e-06,0.05420162546634674,0.0019287774115800858,Llama-2-7b-chat-hf,0.49351799287590614,4,1e-06,retain95,Llama-2-7b-chat-hf_forget05_retain95_GradAscent_seed0_fb1_pb4_full_65567_48,0,0.4735439741758967,results/piper_pi_probe/Llama-2-7b-chat-hf_forget05_retain95_GradAscent_seed0_fb1_pb4_full_65567_48/summary.json,0.06403805853128433,2.166146381654468,8.0,0.4,0.11895231246948242,0.05491425393819809,0.05461859849244356,2.0143167900233023,5.2,0.52,0.10846627116203308,0.05384767266958952,0.034864676745980976,1.6404726124950653,2.65,0.53,0.08930053561925888,0.054435858873277905,-0.507460355758667,-0.6737315654754639,40
GradAscent,187.86260533332825,1,forget05,1e-06,0.05376452049612999,0.0017296526469290257,Llama-2-7b-chat-hf,0.49704663168174634,8,1e-06,retain95,Llama-2-7b-chat-hf_forget05_retain95_GradAscent_seed0_fb1_pb8_full_65569_49,0,0.45953175812703245,results/piper_pi_probe/Llama-2-7b-chat-hf_forget05_retain95_GradAscent_seed0_fb1_pb8_full_65569_49/summary.json,0.05810847676992417,2.062736167608619,5.6000000000000005,0.28,0.1127866542339325,0.054678177464008326,0.05850246074795723,2.0942792974458735,5.4,0.54,0.11196455299854279,0.053462092250585555,0.03805554196089506,1.7052762942481223,2.9499999999999997,0.59,0.09201388746500015,0.05395834550410509,-0.5074970126152039,-0.6568707227706909,40
GradAscent,125.71409940719604,2,forget05,1e-06,0.06737271681427956,0.0013908638283610345,Llama-2-7b-chat-hf,0.4150876113445718,4,1e-06,retain95,Llama-2-7b-chat-hf_forget05_retain95_GradAscent_seed0_fb2_pb4_full_65575_50,0,0.32906166824667293,results/piper_pi_probe/Llama-2-7b-chat-hf_forget05_retain95_GradAscent_seed0_fb2_pb4_full_65575_50/summary.json,0.0874187442421913,2.2776380609087306,9.6,0.48,0.15584089517593383,0.06842215093374253,0.06576231762021778,1.9815758369411098,5.4,0.54,0.13275899291038512,0.06699667529016734,0.04123398238345981,1.6094747721940057,2.75,0.55,0.10888892769813538,0.06765494531467557,-0.4088808298110962,-0.44353753328323364,40
GradAscent,185.74445486068726,2,forget05,1e-06,0.06702728191018105,0.0027224576734006405,Llama-2-7b-chat-hf,0.6534163490357157,8,1e-06,retain95,Llama-2-7b-chat-hf_forget05_retain95_GradAscent_seed0_fb2_pb8_full_65576_51,0,0.6262532250129,results/piper_pi_probe/Llama-2-7b-chat-hf_forget05_retain95_GradAscent_seed0_fb2_pb8_full_65576_51/summary.json,0.09017055000364782,2.3258898110565576,9.6,0.48,0.1581781244277954,0.0680075744241476,0.07073070817291738,2.0624288942746642,5.799999999999999,0.58,0.13730524182319642,0.06657453365027904,0.051055194687843336,1.7589463022479628,2.9999999999999996,0.6,0.11832635015249253,0.0672711554646492,-0.4086613953113556,-0.4468045234680176,40
GradAscent,124.34441828727722,1,forget05,1e-06,0.053170045882463456,0.002786842651665211,Llama-2-7b-chat-hf,0.6538901225263587,4,1e-06,retain95,Llama-2-7b-chat-hf_forget05_retain95_GradAscent_seed1_fb1_pb4_full_65579_52,1,0.6178042312169248,results/piper_pi_probe/Llama-2-7b-chat-hf_forget05_retain95_GradAscent_seed1_fb1_pb4_full_65579_52/summary.json,0.08301685626208782,2.556233762568203,10.4,0.52,0.13636157751083375,0.05334472124874592,0.0592337081104517,2.1158893400939798,5.2,0.52,0.11231577098369598,0.05308206287324428,0.04046922995150089,1.7619034245696426,2.8499999999999996,0.57,0.09358518749475479,0.053115957543253906,-0.28409919142723083,-0.6386778950691223,40
GradAscent,189.55159902572632,1,forget05,1e-06,0.053254574328660965,0.0032240426018834115,Llama-2-7b-chat-hf,0.728134437287097,8,1e-06,retain95,Llama-2-7b-chat-hf_forget05_retain95_GradAscent_seed1_fb1_pb8_full_65581_53,1,0.6886094104376417,results/piper_pi_probe/Llama-2-7b-chat-hf_forget05_retain95_GradAscent_seed1_fb1_pb8_full_65581_53/summary.json,0.08504060225784779,2.5948485300541293,9.6,0.48,0.13836265802383424,0.05332205576598645,0.0619710474923253,2.165255636610079,5.799999999999999,0.58,0.11515340983867645,0.053182362346351146,0.043248377104103564,1.813047127889793,3.15,0.63,0.09644132941961288,0.053192952315509315,-0.2828930914402008,-0.6364634037017822,40
