backbone,cost_elapsed_seconds,cost_pi_seconds,cost_ref_kl_precompute_seconds,cost_ref_logprob_samples,cost_train_seconds,forget_batch_size,forget_count,forget_mean_answer_prob_delta,forget_mean_base_loss,forget_mean_damage,forget_mean_final_loss,forget_sample_size,forget_split,gradient_checkpointing,kl_lambda,learning_rate,local_method_selection_count,local_method_selection_mean_answer_prob_delta,local_method_selection_mean_base_loss,local_method_selection_mean_damage,local_method_selection_mean_final_loss,local_pi_topk_count,local_pi_topk_mean_answer_prob_delta,local_pi_topk_mean_base_loss,local_pi_topk_mean_damage,local_pi_topk_mean_final_loss,local_random_topk_count,local_random_topk_mean_answer_prob_delta,local_random_topk_mean_base_loss,local_random_topk_mean_damage,local_random_topk_mean_final_loss,local_semantic_topk_count,local_semantic_topk_mean_answer_prob_delta,local_semantic_topk_mean_base_loss,local_semantic_topk_mean_damage,local_semantic_topk_mean_final_loss,method,model_name,npo_beta,optimizer,probe_batches,probe_learning_rate,retain_all_count,retain_all_mean_answer_prob_delta,retain_all_mean_base_loss,retain_all_mean_damage,retain_all_mean_final_loss,retain_candidate_size,retain_split,run,seed,selection_method_count,selection_pi_count,selection_pi_random_overlap_rate,selection_pi_semantic_overlap_rate,selection_random_count,selection_semantic_count,selection_semantic_random_overlap_rate,summary_path,topk_count,topk_frac,train_first_local_kl_loss,train_first_npo_loss,train_first_step,train_first_total_loss,train_last_local_kl_loss,train_last_npo_loss,train_last_step,train_last_total_loss,train_steps
NPO,207.85090398788452,28.558369159698486,19.020867824554443,500,54.66845941543579,1,128,-0.45379998340507244,0.44434846087824553,1.3191339467884973,1.7634824076667428,128,forget10,True,1.0,1e-05,500,-0.4336491108769866,0.4877548138797283,1.328543883830309,1.8162986977100373,50,-0.3613064586495922,0.956279507279396,2.5835015910863874,3.5397810983657836,50,-0.4289420695354267,0.46840941935777664,1.273344952762127,1.7417543721199036,50,-0.43127395281705794,0.5476001426577568,1.5439914456009864,2.0915915882587433,global_retain_kl,Llama-2-7b-chat-hf,0.1,paged_adamw_32bit,64,1e-05,500,-0.4336491108769866,0.4877548138797283,1.328543883830309,1.8162986977100373,500,retain90,Llama-2-7b-chat-hf_forget10_retain90_NPO_global_retain_kl_lambda1.0_seed1_66659_16,1,500,50,0.12,0.18,50,50,0.12,results/piper_intervention/Llama-2-7b-chat-hf_forget10_retain90_NPO_global_retain_kl_lambda1.0_seed1_66659_16/summary.json,50,0.1,-1.5067079175423714e-06,13.699517250061035,1,13.699515342712402,0.016652412712574005,0.15396511554718018,80,0.17061752080917358,80
NPO,205.64811396598816,28.347030878067017,18.71068525314331,500,54.410754919052124,1,128,-0.4469721024587794,0.45028283179271966,1.3012804373865947,1.7515632691793144,128,forget10,True,1.0,1e-05,500,-0.42609223061421925,0.48836109206080436,1.3060639855861664,1.7944250776469708,50,-0.36751503133978664,0.9466656625270844,2.589069472551346,3.53573513507843,50,-0.4215227287409682,0.4827517464756966,1.2661784908175469,1.7489302372932434,50,-0.424327028833011,0.5322937923669815,1.4304501491785049,1.9627439415454864,global_retain_kl,Llama-2-7b-chat-hf,0.1,paged_adamw_32bit,64,1e-05,500,-0.42609223061421925,0.48836109206080436,1.3060639855861664,1.7944250776469708,500,retain90,Llama-2-7b-chat-hf_forget10_retain90_NPO_global_retain_kl_lambda1.0_seed2_66708_29,2,500,50,0.1,0.12,50,50,0.16,results/piper_intervention/Llama-2-7b-chat-hf_forget10_retain90_NPO_global_retain_kl_lambda1.0_seed2_66708_29/summary.json,50,0.1,-1.0095043307956075e-06,13.930416107177734,1,13.930415153503418,0.5517303943634033,0.12832067906856537,80,0.6800510883331299,80
NPO,188.22039699554443,28.43480682373047,1.8112921714782715,50,53.98892903327942,1,128,-0.4506367847717699,0.4619713416323066,1.3833250226452947,1.8452963642776012,128,forget10,True,0.1,1e-05,50,-0.35040663237640635,0.9871691691875458,2.697935935258865,3.685105104446411,50,-0.35040663237640635,0.9871691691875458,2.697935935258865,3.685105104446411,50,-0.40929740509305956,0.5332967060804367,1.4081057244539261,1.941402430534363,50,-0.4276809043573847,0.5664774742722511,1.6092958852648735,2.1757733595371245,pi_local_kl,Llama-2-7b-chat-hf,0.1,paged_adamw_32bit,64,1e-05,500,-0.4299887257207597,0.5047782109975815,1.383351181089878,1.8881293920874596,500,retain90,Llama-2-7b-chat-hf_forget10_retain90_NPO_pi_local_kl_lambda0.1_seed0_66634_10,0,50,50,0.16,0.18,50,50,0.08,results/piper_intervention/Llama-2-7b-chat-hf_forget10_retain90_NPO_pi_local_kl_lambda0.1_seed0_66634_10/summary.json,50,0.1,1.1715410437318496e-05,13.887019157409668,1,13.887020111083984,0.00034837250132113695,0.04577542096376419,80,0.045810259878635406,80
NPO,189.3101625442505,28.519161462783813,1.8275527954101562,50,53.86293864250183,1,128,-0.4707473102209242,0.44434846087824553,1.410628498182632,1.8549769590608776,128,forget10,True,0.1,1e-05,50,-0.36265012838830146,0.956279507279396,2.62595949113369,3.582238998413086,50,-0.36265012838830146,0.956279507279396,2.62595949113369,3.582238998413086,50,-0.4504893587827247,0.46840941935777664,1.3790632447600364,1.8474726641178132,50,-0.44896289031146996,0.5476001426577568,1.6418219736218453,2.189422116279602,pi_local_kl,Llama-2-7b-chat-hf,0.1,paged_adamw_32bit,64,1e-05,500,-0.45497629414991364,0.4877548138797283,1.445250584989786,1.9330053988695144,500,retain90,Llama-2-7b-chat-hf_forget10_retain90_NPO_pi_local_kl_lambda0.1_seed1_66696_23,1,50,50,0.12,0.18,50,50,0.12,results/piper_intervention/Llama-2-7b-chat-hf_forget10_retain90_NPO_pi_local_kl_lambda0.1_seed1_66696_23/summary.json,50,0.1,-2.807433020279859e-06,13.699517250061035,1,13.699517250061035,0.0021678400225937366,0.11552873253822327,80,0.11574551463127136,80
NPO,190.11427855491638,28.707858562469482,1.883803129196167,50,53.943124294281006,1,128,-0.4995513021491602,0.45028283179271966,1.6763851259602234,2.126667957752943,128,forget10,True,0.1,1e-05,50,-0.3839430449296372,0.9466656625270844,3.2250324547290803,4.171698117256165,50,-0.3839430449296372,0.9466656625270844,3.2250324547290803,4.171698117256165,50,-0.48264286396662853,0.4827517464756966,1.694180938899517,2.176932685375214,50,-0.47839214427786425,0.5322937923669815,1.8916281193494797,2.423921911716461,pi_local_kl,Llama-2-7b-chat-hf,0.1,paged_adamw_32bit,64,1e-05,500,-0.48536455126419165,0.48836109206080436,1.7231106040775777,2.211471696138382,500,retain90,Llama-2-7b-chat-hf_forget10_retain90_NPO_pi_local_kl_lambda0.1_seed2_66724_36,2,50,50,0.1,0.12,50,50,0.16,results/piper_intervention/Llama-2-7b-chat-hf_forget10_retain90_NPO_pi_local_kl_lambda0.1_seed2_66724_36/summary.json,50,0.1,-8.153546815492518e-08,13.930416107177734,1,13.930416107177734,0.9317317605018616,0.042020972818136215,80,0.13519415259361267,80
NPO,188.97179126739502,28.529757499694824,1.8721044063568115,50,53.77824020385742,1,128,-0.45032585109127543,0.4619713416323066,1.3812555740587413,1.843226915691048,128,forget10,True,0.3,1e-05,50,-0.35035799337674495,0.9871691691875458,2.698288913965225,3.685458083152771,50,-0.35035799337674495,0.9871691691875458,2.698288913965225,3.685458083152771,50,-0.4092221889566018,0.5332967060804367,1.4063591247797012,1.939655830860138,50,-0.4271967554587151,0.5664774742722511,1.606523036658764,2.173000510931015,pi_local_kl,Llama-2-7b-chat-hf,0.1,paged_adamw_32bit,64,1e-05,500,-0.42955494246765835,0.5047782109975815,1.3806554618477822,1.8854336728453636,500,retain90,Llama-2-7b-chat-hf_forget10_retain90_NPO_pi_local_kl_lambda0.3_seed0_66635_11,0,50,50,0.16,0.18,50,50,0.08,results/piper_intervention/Llama-2-7b-chat-hf_forget10_retain90_NPO_pi_local_kl_lambda0.3_seed0_66635_11/summary.json,50,0.1,1.1715410437318496e-05,13.887019157409668,1,13.887022972106934,0.000322822539601475,0.048759281635284424,80,0.04885612800717354,80
NPO,189.78270030021667,28.607606172561646,1.8317508697509766,50,53.98236656188965,1,128,-0.47057008721972404,0.44434846087824553,1.409634821699001,1.8539832825772464,128,forget10,True,0.3,1e-05,50,-0.36224475733679085,0.956279507279396,2.604469398856163,3.5607489061355593,50,-0.36224475733679085,0.956279507279396,2.604469398856163,3.5607489061355593,50,-0.4511191905262602,0.46840941935777664,1.3822712680697442,1.8506806874275208,50,-0.44909688350505894,0.5476001426577568,1.6372887280583381,2.184888870716095,pi_local_kl,Llama-2-7b-chat-hf,0.1,paged_adamw_32bit,64,1e-05,500,-0.45509662710665144,0.4877548138797283,1.4440970123112202,1.9318518261909485,500,retain90,Llama-2-7b-chat-hf_forget10_retain90_NPO_pi_local_kl_lambda0.3_seed1_66698_24,1,50,50,0.12,0.18,50,50,0.12,results/piper_intervention/Llama-2-7b-chat-hf_forget10_retain90_NPO_pi_local_kl_lambda0.3_seed1_66698_24/summary.json,50,0.1,-2.807433020279859e-06,13.699517250061035,1,13.699516296386719,0.002073165262117982,0.1293996125459671,80,0.13002155721187592,80
NPO,153.66383004188538,22.972584009170532,1.3414230346679688,50,42.552079916000366,1,128,-0.48209717574139477,0.45028283179271966,1.511221316526644,1.9615041483193636,128,forget10,True,0.3,1e-05,50,-0.36693812546747084,0.9466656625270844,2.5758746778964996,3.5225403404235838,50,-0.36693812546747084,0.9466656625270844,2.5758746778964996,3.5225403404235838,50,-0.46069247973153593,0.4827517464756966,1.466171118915081,1.9489228653907775,50,-0.4563117365600247,0.5322937923669815,1.6279226106405258,2.1602164030075075,pi_local_kl,Llama-2-7b-chat-hf,0.1,paged_adamw_32bit,64,1e-05,500,-0.46506702716751785,0.48836109206080436,1.5127842375338079,2.001145329594612,500,retain90,Llama-2-7b-chat-hf_forget10_retain90_NPO_pi_local_kl_lambda0.3_seed2_66725_37,2,50,50,0.1,0.12,50,50,0.16,results/piper_intervention/Llama-2-7b-chat-hf_forget10_retain90_NPO_pi_local_kl_lambda0.3_seed2_66725_37/summary.json,50,0.1,-8.153546815492518e-08,13.930416107177734,1,13.930416107177734,0.005754784680902958,0.12494243681430817,80,0.12666887044906616,80
NPO,190.62591338157654,28.775283575057983,1.8907172679901123,50,54.173956871032715,1,128,-0.44880424721876133,0.4619713416323066,1.3774513874668628,1.8394227290991694,128,forget10,True,1.0,1e-05,50,-0.35025842992440487,0.9871691691875458,2.6877667438983917,3.6749359130859376,50,-0.35025842992440487,0.9871691691875458,2.6877667438983917,3.6749359130859376,50,-0.4081174397390969,0.5332967060804367,1.4025486439466477,1.9358453500270842,50,-0.42680020734274593,0.5664774742722511,1.6010767349600792,2.16755420923233,pi_local_kl,Llama-2-7b-chat-hf,0.1,paged_adamw_32bit,64,1e-05,500,-0.4287484547771947,0.5047782109975815,1.375247204899788,1.8800254158973695,500,retain90,Llama-2-7b-chat-hf_forget10_retain90_NPO_pi_local_kl_lambda1.0_seed0_66637_12,0,50,50,0.16,0.18,50,50,0.08,results/piper_intervention/Llama-2-7b-chat-hf_forget10_retain90_NPO_pi_local_kl_lambda1.0_seed0_66637_12/summary.json,50,0.1,1.1715410437318496e-05,13.887019157409668,1,13.887030601501465,0.0003288747393526137,0.04749293997883797,80,0.04782181605696678,80
NPO,186.3920271396637,28.1336510181427,1.804776906967163,50,53.200201749801636,1,128,-0.4692194053393051,0.44434846087824553,1.402713150368072,1.8470616112463176,128,forget10,True,1.0,1e-05,50,-0.36257695670996937,0.956279507279396,2.6185373491048813,3.5748168563842775,50,-0.36257695670996937,0.956279507279396,2.6185373491048813,3.5748168563842775,50,-0.44947184614584484,0.46840941935777664,1.374771153628826,1.8431805729866029,50,-0.44783626399030846,0.5476001426577568,1.6338275602459909,2.1814277029037474,pi_local_kl,Llama-2-7b-chat-hf,0.1,paged_adamw_32bit,64,1e-05,500,-0.45394499857064835,0.4877548138797283,1.438500150948763,1.9262549648284912,500,retain90,Llama-2-7b-chat-hf_forget10_retain90_NPO_pi_local_kl_lambda1.0_seed1_66701_25,1,50,50,0.12,0.18,50,50,0.12,results/piper_intervention/Llama-2-7b-chat-hf_forget10_retain90_NPO_pi_local_kl_lambda1.0_seed1_66701_25/summary.json,50,0.1,-2.807433020279859e-06,13.699517250061035,1,13.699514389038086,0.0019868246745318174,0.12255727499723434,80,0.12454409897327423,80
