model,forget_split,trainer,run_tag,result_type,checkpoint,model_utility,forget_quality,forget_truth_ratio,forget_Q_A_Prob,forget_Q_A_ROUGE,extraction_strength,privleak,mtime,summary_path,task_name
Llama-3.2-1B-Instruct,forget10,GradAscent,retry1,checkpoint,100,0.0,1.0635896769518578e-239,2.4583522339481308e-26,3.716799490873578e-36,0.0,0.03250892997513522,-9.496163267073575,2026-07-07T20:58:49,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_retry1/checkpoint-100/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_retry1
Llama-3.2-1B-Instruct,forget10,GradAscent,retry1,checkpoint,125,0.0,1.0635896769518578e-239,2.930269256178173e-27,3.1787686092512643e-37,0.0,0.03250892997513522,-1.168735194481782,2026-07-07T21:13:51,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_retry1/checkpoint-125/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_retry1
Llama-3.2-1B-Instruct,forget10,GradAscent,retry1,checkpoint,150,0.0,1.0635896769518578e-239,6.704558363212607e-28,4.6903142952770853e-38,0.0,0.03250892997513522,8.854852097126228,2026-07-07T21:28:55,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_retry1/checkpoint-150/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_retry1
Llama-3.2-1B-Instruct,forget10,GradAscent,retry1,checkpoint,175,0.0,1.0635896769518578e-239,3.3367053268729996e-28,1.1770555542569732e-38,0.0,0.03250892997513522,14.522382617963226,2026-07-07T21:43:58,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_retry1/checkpoint-175/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_retry1
Llama-3.2-1B-Instruct,forget10,GradAscent,retry1,checkpoint,200,0.0,1.0635896769518578e-239,1.772036078202586e-28,3.9459416811684875e-39,0.0,0.03250892997513522,22.453483424518073,2026-07-07T21:58:58,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_retry1/checkpoint-200/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_retry1
Llama-3.2-1B-Instruct,forget10,GradAscent,retry1,checkpoint,225,0.0,1.0635896769518578e-239,1.6157329334891293e-28,1.5224029375590994e-39,0.0,0.03250892997513522,23.555910992115017,2026-07-07T22:14:01,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_retry1/checkpoint-225/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_retry1
Llama-3.2-1B-Instruct,forget10,GradAscent,retry1,checkpoint,25,0.0,1.0635896769518578e-239,0.00010680359177356369,1.8506203514068176e-14,0.0,0.03250892997513522,-24.78994148330021,2026-07-07T20:14:25,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_retry1/checkpoint-25/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_retry1
Llama-3.2-1B-Instruct,forget10,GradAscent,retry1,checkpoint,250,0.0,1.0635896769518578e-239,1.3772557761439646e-28,1.1442702821285706e-39,0.0,0.03250892997513522,25.637261845172244,2026-07-07T22:43:32,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_retry1/checkpoint-250/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_retry1
Llama-3.2-1B-Instruct,forget10,GradAscent,retry1,checkpoint,50,0.0,1.0635896769518578e-239,4.331821151938814e-24,1.4097240765349589e-33,0.0,0.03250892997513522,-20.719867988788256,2026-07-07T20:29:03,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_retry1/checkpoint-50/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_retry1
Llama-3.2-1B-Instruct,forget10,GradAscent,retry1,checkpoint,75,0.0,1.0635896769518578e-239,2.8736406067280513e-25,7.096718716396426e-35,0.0,0.03250892997513522,-15.895608509097508,2026-07-07T20:43:48,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_retry1/checkpoint-75/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_retry1
Llama-3.2-1B-Instruct,forget10,GradAscent,retry1,final,,0.0,1.0635896769518578e-239,1.3554077541219867e-28,1.1479437019748901e-39,0.0,0.03250892997513522,25.799234674203937,2026-07-07T22:48:59,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_retry1/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_retry1
Llama-3.2-1B-Instruct,forget10,NPO,retry1,checkpoint,0,0.6007089968202051,3.4004838027527454e-21,0.4756858977962338,0.880498046875,0.8190670204567386,0.7041641356725213,-99.4523293556393,2026-07-07T18:33:52,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_NPO_retry1/checkpoint-0/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget10_NPO_retry1
Llama-3.2-1B-Instruct,forget10,NPO,retry1,checkpoint,100,0.5134148608219868,0.02424717195471133,0.648696278559044,0.12644264221191406,0.20914518278493538,0.07567046013597295,-0.5304610150787903,2026-07-07T18:57:02,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_NPO_retry1/checkpoint-100/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget10_NPO_retry1
Llama-3.2-1B-Instruct,forget10,NPO,retry1,checkpoint,125,0.5392027736793741,0.02985302150862578,0.6284028452849029,0.09929967880249023,0.24373643356664892,0.07376920162047128,7.160717538472884,2026-07-07T19:04:25,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_NPO_retry1/checkpoint-125/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget10_NPO_retry1
Llama-3.2-1B-Instruct,forget10,NPO,retry1,checkpoint,150,0.5508057827199019,0.019594795142993927,0.6215047502217046,0.09592035293579101,0.26132136196429817,0.07740247921942583,10.00131602761617,2026-07-07T19:11:27,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_NPO_retry1/checkpoint-150/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget10_NPO_retry1
Llama-3.2-1B-Instruct,forget10,NPO,retry1,checkpoint,175,0.5648738333153646,0.015755280926407406,0.6198669417753112,0.09443083763122559,0.26043362049696994,0.07811476411611823,12.522524344512561,2026-07-07T19:18:23,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_NPO_retry1/checkpoint-175/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget10_NPO_retry1
Llama-3.2-1B-Instruct,forget10,NPO,retry1,checkpoint,200,0.5710114214409198,0.02424717195471133,0.6225536614205773,0.09218748092651367,0.25727196640498723,0.0781041869162276,14.537567570684931,2026-07-07T19:25:03,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_NPO_retry1/checkpoint-200/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget10_NPO_retry1
Llama-3.2-1B-Instruct,forget10,NPO,retry1,checkpoint,225,0.5713414822481006,0.006260402267679663,0.6113492125808878,0.08304420471191407,0.27419133143099234,0.07726774984813325,12.225405436257562,2026-07-07T19:32:09,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_NPO_retry1/checkpoint-225/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget10_NPO_retry1
Llama-3.2-1B-Instruct,forget10,NPO,retry1,checkpoint,25,0.30848029876215843,9.12384805543942e-06,0.6904433749973978,0.1391278076171875,0.1737035076139187,0.06798263719295522,-61.215099907073736,2026-07-07T18:38:33,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_NPO_retry1/checkpoint-25/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget10_NPO_retry1
Llama-3.2-1B-Instruct,forget10,NPO,retry1,checkpoint,250,0.5775608168966531,0.010032513978788836,0.6099196497536713,0.08215557098388672,0.266834709743782,0.07756677890115167,13.146119736284573,2026-07-07T19:43:50,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_NPO_retry1/checkpoint-250/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget10_NPO_retry1
Llama-3.2-1B-Instruct,forget10,NPO,retry1,checkpoint,50,0.19975317054166278,0.0017621899205092087,0.7185154297762111,0.15303314208984375,0.08271652521575067,0.07048189927493685,-42.74513574655379,2026-07-07T18:44:34,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_NPO_retry1/checkpoint-50/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget10_NPO_retry1
Llama-3.2-1B-Instruct,forget10,NPO,retry1,checkpoint,75,0.47080719162383095,0.00794521285574355,0.6587298316808244,0.15135238647460938,0.1605206083647894,0.07380560079669592,-28.09773035118175,2026-07-07T18:50:37,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_NPO_retry1/checkpoint-75/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget10_NPO_retry1
Llama-3.2-1B-Instruct,forget10,NPO,retry1,final,,0.5759310394524192,0.004907932356726081,0.6101001854475129,0.0815581226348877,0.2659676736651577,0.07855852355616182,13.07373812831104,2026-07-07T19:46:35,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_NPO_retry1/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget10_NPO_retry1
