model,method,split,qa_type,metric,value_mean,value_std,n
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,single_fact,exact_memorization,0.9674482554197311,0.047736229024310496,20
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,single_fact,extraction_strength,0.8044699949060414,0.35040193161055827,20
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,single_fact,forget_Q_A_Prob,0.890860190987587,0.10745071859936285,20
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,single_fact,forget_truth_ratio,7.657952962987322,20.413186980668605,20
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,book_to_award,retain_Q_A_Prob,0.992791559961107,0.00854274586428019,9
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,book_to_award,retain_truth_ratio,0.24903619165784185,0.16683293446682299,9
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,composite,retain_Q_A_Prob,0.9649228105942408,0.05529069763622064,36
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,composite,retain_truth_ratio,0.21770484402424833,0.21002687981122797,36
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,identity_from_book,retain_Q_A_Prob,0.9937601733207703,0.009626036709805205,50
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,identity_from_book,retain_truth_ratio,0.22034349844196194,0.2222784877593039,50
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,relation,retain_Q_A_Prob,0.9784460957736185,0.04610491284108969,73
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,relation,retain_truth_ratio,0.2662808298928256,0.23268929973042832,73
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,single_fact,retain_Q_A_Prob,0.981210465283738,0.03927324676301521,97
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,single_fact,retain_truth_ratio,0.22146550075190513,0.20548060067590235,97
Llama-3.2-1B-Instruct,SimNPO_sago,forget,composite,exact_memorization,0.9643528938293457,0.040541463870264936,10
Llama-3.2-1B-Instruct,SimNPO_sago,forget,composite,extraction_strength,0.6163614074712473,0.48052386774317635,10
Llama-3.2-1B-Instruct,SimNPO_sago,forget,composite,forget_Q_A_Prob,0.9073791682720185,0.1025525747438376,10
Llama-3.2-1B-Instruct,SimNPO_sago,forget,composite,forget_truth_ratio,1.6551568447431868,0.9015057284478023,10
Llama-3.2-1B-Instruct,SimNPO_sago,forget,relation,exact_memorization,1.0,0.0,10
Llama-3.2-1B-Instruct,SimNPO_sago,forget,relation,extraction_strength,1.0,0.0,10
Llama-3.2-1B-Instruct,SimNPO_sago,forget,relation,forget_Q_A_Prob,0.986169308423996,0.006487464665942312,10
Llama-3.2-1B-Instruct,SimNPO_sago,forget,relation,forget_truth_ratio,5.229092633505421,6.824467959488552,10
Llama-3.2-1B-Instruct,SimNPO_sago,forget,single_fact,exact_memorization,0.9902962982654572,0.02834026849762162,20
Llama-3.2-1B-Instruct,SimNPO_sago,forget,single_fact,extraction_strength,0.8822222222222222,0.28793163741538685,20
Llama-3.2-1B-Instruct,SimNPO_sago,forget,single_fact,forget_Q_A_Prob,0.9576445400714875,0.06564913414436016,20
Llama-3.2-1B-Instruct,SimNPO_sago,forget,single_fact,forget_truth_ratio,13.98383836301905,46.94413747904739,20
Llama-3.2-1B-Instruct,SimNPO_sago,retain,book_to_award,retain_Q_A_Prob,0.9948086937268575,0.005537426026128207,9
Llama-3.2-1B-Instruct,SimNPO_sago,retain,book_to_award,retain_truth_ratio,0.24178776514659553,0.17114120331014313,9
Llama-3.2-1B-Instruct,SimNPO_sago,retain,composite,retain_Q_A_Prob,0.9740096860461764,0.046228851469157124,36
Llama-3.2-1B-Instruct,SimNPO_sago,retain,composite,retain_truth_ratio,0.21201856357348997,0.2178744945627163,36
Llama-3.2-1B-Instruct,SimNPO_sago,retain,identity_from_book,retain_Q_A_Prob,0.9946341753005982,0.009420738195291545,50
Llama-3.2-1B-Instruct,SimNPO_sago,retain,identity_from_book,retain_truth_ratio,0.21861836122475758,0.22424585176059159,50
Llama-3.2-1B-Instruct,SimNPO_sago,retain,relation,retain_Q_A_Prob,0.9831954453089465,0.040684639930474754,73
Llama-3.2-1B-Instruct,SimNPO_sago,retain,relation,retain_truth_ratio,0.26216485127113337,0.2366500339238172,73
Llama-3.2-1B-Instruct,SimNPO_sago,retain,single_fact,retain_Q_A_Prob,0.9846483886856394,0.03743723559674885,97
Llama-3.2-1B-Instruct,SimNPO_sago,retain,single_fact,retain_truth_ratio,0.21447841909140686,0.20130891379722848,97
